Date,Open,High,Low,Close,Points_Change,Change_Pct,Volume_Cr,Turnover_Rs_Cr,PE,PB,Div_Yield,Daily_Return
2021-12-23,23389.77,23463.84,23356.63,23415.86,171.59,0.74,17.61,2132.85,26.31,3.39,1.06,0.007382034368039969
2021-12-24,23518.89,23530.7,23194.59,23285.09,-130.77,-0.56,20.13,2137.79,26.18,3.37,1.06,-0.00558467636892257
2021-12-27,23238.45,23414.01,23052.8,23386.67,101.58,0.44,17.69,2193.5,26.21,3.37,1.06,0.004362448244777939
2021-12-28,23519.25,23629.09,23511.03,23607.19,220.52,0.94,15.78,2162.86,26.56,3.42,1.05,0.009429303103007047
2021-12-29,23626.31,23696.71,23559.7,23598.81,-8.38,-0.04,29.9,2316.42,26.48,3.41,1.05,-0.00035497659823113814
2021-12-30,23596.96,23654.58,23534.52,23565.31,-33.5,-0.14,29.9,2316.42,26.59,3.42,1.05,-0.001419563105088728
2021-12-31,23614.42,23853.12,23609.13,23811.0,245.69,1.04,32.99,2479.3,26.88,3.46,1.03,0.01042591843688867
2022-01-03,23866.03,24168.0,23861.64,24140.23,329.23,1.38,31.46,2972.48,27.2,3.5,1.03,0.013826802738230226
2022-01-04,24232.12,24339.05,24084.05,24315.79,175.56,0.73,25.81,3067.97,27.33,3.52,1.02,0.007272507345621904
2022-01-05,24342.55,24467.61,24239.44,24441.21,125.42,0.52,23.6,2970.42,27.51,3.54,1.01,0.005157965256320951
2022-01-06,24275.01,24319.72,24133.14,24281.93,-159.28,-0.65,23.6,2970.42,27.32,3.52,1.02,-0.0065168622993705405
2022-01-07,24364.62,24485.49,24230.87,24374.89,92.96,0.38,23.6,2970.42,27.42,3.53,1.01,0.0038283612546448076
2022-01-10,24494.35,24624.62,24461.9,24613.74,238.85,0.98,25.03,3172.16,27.72,3.57,1.0,0.009799018580186614
2022-01-11,24611.96,24715.63,24563.66,24674.81,61.07,0.25,55.54,3385.21,27.75,3.58,1.0,0.0024811345208002322
2022-01-12,24836.7,24907.3,24780.81,24890.26,215.45,0.87,41.02,3246.56,27.93,3.6,0.99,0.008731576859152934
2022-01-13,24952.61,24989.27,24831.65,24971.32,81.06,0.33,24.13,3408.53,27.93,3.6,0.99,0.0032566955909660855
