Date,Open,High,Low,Close,Daily_Return
2021-09-01,14611.65,14640.6,14527.05,14551.35,
2021-09-02,14571.3,14692.0,14548.5,14684.35,0.009140045425338528
2021-09-03,14724.7,14770.85,14682.2,14759.3,0.005104073384249119
2021-09-06,14827.05,14843.4,14783.45,14805.85,0.0031539436152121514
2021-09-07,14834.95,14852.25,14713.55,14784.25,-0.0014588828064582282
2021-09-08,14802.85,14825.1,14716.65,14803.6,0.0013088252701354275
2021-09-09,14780.6,14844.4,14774.15,14836.45,0.0022190548245022423
2021-09-13,14839.8,14865.75,14769.1,14852.2,0.0010615747028432931
2021-09-14,14917.05,14935.55,14881.55,14904.35,0.003511264324477237
2021-09-15,14927.95,15028.65,14921.1,15020.55,0.0077963815932931
2021-09-16,15050.85,15115.35,15012.25,15104.9,0.005615639906661141
2021-09-17,15169.9,15207.7,14979.35,15027.25,-0.005140715926619799
2021-09-20,14907.5,15047.65,14800.85,14826.75,-0.013342427922607314
2021-09-21,14856.85,14959.45,14734.7,14946.3,0.008063129141585357
2021-09-22,14977.3,15030.85,14950.35,14990.55,0.002960598944220294
2021-09-23,15097.1,15219.35,15085.55,15205.45,0.014335698156505261
2021-09-24,15274.1,15305.2,15160.45,15191.95,-0.0008878395575270259
2021-09-27,15261.35,15262.65,15139.6,15189.05,-0.00019089057033505608
2021-09-28,15235.1,15239.65,14967.05,15095.6,-0.006152458514521952
2021-09-29,15023.3,15141.05,14985.4,15086.95,-0.0005730146532764158
2021-09-30,15109.7,15137.55,15026.95,15052.65,-0.0022734880144761327
2021-10-01,14994.8,15031.55,14932.75,15013.95,-0.002570975874679804
2021-10-04,15094.4,15195.2,15075.25,15181.15,0.011136309898460928
2021-10-05,15171.25,15287.7,15150.5,15280.1,0.006517951538585809
2021-10-06,15328.95,15349.2,15109.1,15134.55,-0.009525461220803555
2021-10-07,15274.65,15335.95,15251.0,15290.15,0.010281111760838568
2021-10-08,15375.3,15402.7,15317.4,15365.2,0.00490838873392363
2021-10-11,15374.5,15497.8,15356.55,15428.0,0.004087157993387658
2021-10-12,15426.6,15493.25,15371.8,15481.9,0.0034936479128855336
2021-10-13,15573.6,15660.2,15546.85,15631.4,0.009656437517358896
2021-10-14,15733.3,15781.0,15710.1,15769.25,0.00881878782450718
2021-10-18,15924.1,15949.2,15871.4,15886.15,0.007413161691266268
2021-10-19,16003.95,16004.45,15716.7,15757.85,-0.008076217333967017
2021-10-20,15768.0,15776.35,15497.0,15568.65,-0.012006714113917849
2021-10-21,15666.6,15667.0,15373.45,15487.65,-0.005202763245368058
2021-10-22,15537.05,15600.45,15328.9,15399.7,-0.005678718204504829
2021-10-25,15492.0,15498.4,15181.6,15334.35,-0.004243589160827788
2021-10-26,15360.35,15528.9,15356.5,15499.65,0.010779720040301699
2021-10-27,15541.75,15583.2,15454.1,15484.35,-0.0009871190639788585
2021-10-28,15475.4,15475.45,15148.2,15190.85,-0.01895462192471753
2021-10-29,15163.5,15266.4,14961.5,15086.9,-0.006842935056300403
2021-11-01,15179.4,15318.15,15111.3,15302.7,0.014303799985417864
2021-11-02,15344.35,15373.7,15278.7,15314.65,0.0007809079443497069
2021-11-03,15367.7,15397.3,15212.15,15282.75,-0.0020829728397319114
2021-11-04,15380.95,15396.85,15363.35,15376.9,0.0061605404786442275
2021-11-08,15474.25,15535.05,15313.2,15520.15,0.009315921934850424
2021-11-09,15542.05,15579.5,15487.7,15541.95,0.0014046255996238433
2021-11-10,15492.05,15562.45,15458.5,15521.1,-0.001341530502929178
2021-11-11,15497.25,15499.9,15351.2,15411.1,-0.0070871265567518105
2021-11-12,15504.35,15591.45,15429.6,15579.0,0.010894744697004022
2021-11-15,15625.75,15664.45,15558.05,15592.6,0.0008729700237499749
2021-11-16,15613.1,15626.65,15492.6,15525.4,-0.004309736669958819
2021-11-17,15487.15,15560.75,15436.95,15454.95,-0.0045377252759992714
2021-11-18,15461.5,15502.6,15239.8,15302.55,-0.00986091834654923
2021-11-22,15333.9,15339.65,14846.7,14976.7,-0.02129383664814022
2021-11-23,14876.0,15137.15,14820.4,15107.8,0.008753597254401724
2021-11-24,15159.95,15199.2,14997.3,15046.5,-0.004057506718383785
2021-11-25,15057.6,15166.65,14984.7,15150.6,0.006918552487289453
2021-11-26,14990.85,15012.1,14674.75,14707.2,-0.029266167676527677
2021-11-29,14683.05,14749.5,14402.1,14656.45,-0.003450690818102675
2021-11-30,14662.05,14912.75,14608.6,14648.35,-0.0005526577036049085
2021-12-01,14743.7,14822.5,14694.3,14784.7,0.009308215601074643
2021-12-02,14808.8,14990.3,14786.65,14973.95,0.012800395002942278
2021-12-03,15002.65,15054.95,14845.25,14856.3,-0.007856978285622818
2021-12-06,14876.25,14882.15,14599.35,14618.35,-0.016016774028526526
2021-12-07,14733.25,14881.75,14683.25,14834.5,0.014786210482031104
2021-12-08,14945.3,15084.5,14941.3,15073.25,0.016094239778893904
2021-12-09,15126.55,15141.0,15023.2,15126.6,0.0035393826812399887
2021-12-10,15103.65,15168.8,15069.8,15155.0,0.0018774873401821157
2021-12-13,15258.1,15280.0,15052.9,15064.25,-0.005988122731771739
2021-12-14,15005.5,15072.0,14947.95,15043.25,-0.0013940289095042413
2021-12-15,15050.1,15075.7,14936.6,14953.1,-0.005992720987818445
2021-12-16,15072.95,15078.85,14891.6,14936.45,-0.0011134814854444341
2021-12-17,14952.75,14966.1,14658.5,14673.15,-0.01762801736691122
2021-12-20,14523.5,14533.8,14128.15,14300.7,-0.025383097698858048
2021-12-21,14423.7,14584.95,14386.45,14461.4,0.011237212164439514
2021-12-22,14542.7,14652.35,14522.55,14639.75,0.012332830846252918
2021-12-23,14738.3,14779.3,14708.7,14751.45,0.007629911712973225
2021-12-24,14813.9,14819.2,14605.05,14664.8,-0.00587399882723405
2021-12-27,14617.15,14745.55,14515.25,14727.6,0.004282363209863194
2021-12-28,14809.5,14880.85,14805.3,14867.85,0.009522936527336379
2021-12-29,14866.2,14922.35,14835.35,14863.4,-0.0002993035307727876
2021-12-30,14856.1,14894.65,14815.0,14842.05,-0.0014364142793708012
2021-12-31,14879.25,15022.35,14877.85,14996.2,0.01038603157919571
2022-01-03,15030.5,15220.05,15028.55,15204.6,0.013896853869646897
2022-01-04,15260.9,15333.6,15168.15,15318.75,0.007507596385304405
2022-01-05,15329.75,15410.6,15264.85,15396.4,0.00506895144838837
2022-01-06,15275.75,15315.5,15197.1,15290.1,-0.006904211374087366
2022-01-07,15333.45,15418.4,15255.45,15348.55,0.003822734972302344
2022-01-10,15427.65,15504.0,15400.55,15495.55,0.009577451941714443
2022-01-11,15497.5,15559.1,15462.05,15530.55,0.0022587129853408605
2022-01-12,15627.05,15678.7,15595.65,15667.9,0.008843859361065798
2022-01-13,15710.3,15730.95,15629.45,15721.05,0.0033922861391761927
2022-01-14,15667.95,15754.45,15619.55,15730.4,0.0005947439897462381
2022-01-17,15731.35,15794.95,15718.25,15781.25,0.003232594212480233
2022-01-18,15819.45,15834.2,15546.65,15573.1,-0.01318970297029698
2022-01-19,15580.4,15580.4,15403.2,15472.5,-0.006459857061214547
2022-01-20,15464.45,15486.15,15280.55,15361.1,-0.007199870738406777
2022-01-21,15252.9,15294.7,15069.05,15180.8,-0.011737440678076472
2022-01-24,15155.0,15165.4,14577.15,14712.05,-0.03087781935075884
2022-01-25,14577.55,14853.0,14410.9,14832.2,0.008166774854626135
2022-01-27,14671.7,14735.75,14489.8,14679.7,-0.010281684443305794
2022-01-28,14773.05,14952.15,14701.6,14723.25,0.00296668188041993
2022-01-31,14894.75,14975.8,14857.55,14921.45,0.013461701730256515
2022-02-01,15073.15,15138.2,14850.3,15116.2,0.013051680634254659
2022-02-02,15218.25,15304.6,15201.45,15293.35,0.011719215146663853
2022-02-03,15289.15,15296.35,15101.0,15135.9,-0.010295324438399756
2022-02-04,15159.6,15188.4,15048.35,15085.45,-0.003333135129063969
2022-02-07,15065.05,15126.65,14796.2,14870.6,-0.014242200265819127
2022-02-08,14926.5,14955.25,14689.15,14857.05,-0.0009111938993719981
2022-02-09,14942.75,15026.5,14925.05,15016.35,0.010722182398255509
2022-02-10,15084.35,15134.1,14972.35,15112.2,0.0063830424836928135
2022-02-11,14988.95,14990.6,14862.05,14891.3,-0.014617329045407135
2022-02-14,14606.55,14638.65,14370.7,14400.4,-0.03296555707023563
2022-02-15,14469.0,14822.75,14348.4,14805.55,0.0281346351490237
2022-02-16,14876.65,14935.6,14756.5,14789.9,-0.0010570360439159376
2022-02-17,14857.1,14895.65,14725.05,14772.05,-0.001206904711999468
2022-02-18,14711.3,14815.0,14692.65,14710.7,-0.004153113481202619
2022-02-21,14638.35,14733.1,14498.2,14597.1,-0.007722270184287616
2022-02-22,14269.45,14527.2,14267.6,14489.05,-0.007402155222612783
2022-02-23,14581.05,14629.05,14482.3,14506.95,0.0012354157104850216
2022-02-24,14055.85,14180.85,13747.45,13775.7,-0.050406873946625574
2022-02-25,14018.1,14247.05,14007.7,14187.4,0.02988595860827381
2022-02-28,14047.75,14320.95,13928.8,14307.95,0.00849697619014056
2022-03-02,14161.7,14265.5,14104.75,14199.8,-0.0075587348292384116
2022-03-03,14327.7,14364.6,14094.3,14135.95,-0.0044965422048196535
2022-03-04,14020.2,14075.0,13828.45,13893.15,-0.017176065280366748
2022-03-07,13594.75,13637.5,13438.3,13564.25,-0.023673536958860986
2022-03-08,13504.75,13720.1,13423.55,13706.75,0.010505556886668987
2022-03-09,13786.4,14037.65,13721.95,13979.6,0.01990625056997475
2022-03-10,14313.2,14316.8,14079.85,14189.0,0.014978969355346372
2022-03-11,14145.5,14268.3,14098.7,14237.15,0.0033934738177461288
2022-03-14,14248.9,14389.35,14189.1,14374.6,0.009654319860365357
2022-03-15,14408.75,14433.75,14130.9,14215.85,-0.01104378556620711
2022-03-16,14392.55,14491.45,14369.5,14481.8,0.01870799143209867
2022-03-17,14667.2,14756.55,14644.75,14721.7,0.01656562029581976
2022-03-21,14773.05,14789.85,14590.7,14602.35,-0.008107080024725377
2022-03-22,14613.1,14738.15,14492.25,14724.05,0.008334274962591648
2022-03-23,14806.6,14833.3,14660.45,14695.15,-0.0019627751875332944
2022-03-24,14598.75,14744.7,14595.7,14699.35,0.000285808583103897
2022-03-25,14763.9,14768.3,14590.45,14651.7,-0.0032416399364597615
2022-03-28,14686.25,14694.85,14515.65,14675.85,0.0016482728966604743
2022-03-29,14744.05,14773.15,14689.6,14761.9,0.005863374182756065
2022-03-30,14880.7,14924.75,14823.55,14896.9,0.00914516424037548
2022-03-31,14925.55,14963.4,14871.0,14894.5,-0.00016110734448104846
2022-04-01,14890.1,15111.35,14882.6,15087.3,0.012944375440598899
2022-04-04,15192.8,15393.35,15184.7,15384.2,0.019678802701610154
2022-04-05,15433.05,15477.8,15360.2,15390.5,0.0004095110567985394
2022-04-06,15318.15,15387.4,15293.85,15327.9,-0.0040674442025925295
2022-04-07,15292.35,15361.2,15185.7,15201.25,-0.008262710482192626
2022-04-08,15271.35,15386.1,15202.5,15342.4,0.009285420606857997
2022-04-11,15337.5,15386.85,15294.3,15325.5,-0.0011015225779539284
2022-04-12,15281.85,15283.35,15078.45,15164.7,-0.010492316727023554
2022-04-13,15239.65,15284.7,15126.65,15138.55,-0.0017243994276181507
2022-04-18,14942.6,14971.5,14821.25,14926.05,-0.014037011470715455
2022-04-19,15012.75,15041.65,14617.05,14726.65,-0.013359194160544763
2022-04-20,14807.15,14905.25,14747.95,14850.3,0.008396342684860336
2022-04-21,14946.3,15067.45,14929.15,15053.95,0.01371352767284173
2022-04-22,14948.1,15015.35,14875.8,14894.85,-0.010568654738457361
2022-04-25,14758.6,14769.1,14623.1,14673.0,-0.014894409812787668
2022-04-26,14818.8,14915.35,14785.85,14898.35,0.015358140802835152
2022-04-27,14797.35,14825.55,14678.95,14756.0,-0.009554749351438296
2022-04-28,14886.5,14964.6,14765.85,14913.9,0.010700731905665561
2022-04-29,14991.45,15011.7,14743.35,14783.35,-0.008753578876081969
2022-05-02,14647.25,14751.05,14617.75,14736.3,-0.0031826345178866955
2022-05-04,14771.45,14798.3,14343.6,14393.35,-0.023272463237040464
2022-05-05,14542.15,14606.05,14365.55,14395.5,0.0001493745375469313
2022-05-06,14159.1,14205.0,14073.45,14145.75,-0.017349171616130032
2022-05-09,14002.75,14088.3,13879.55,13991.75,-0.010886662071647013
2022-05-10,13953.95,14068.4,13823.35,13855.95,-0.009705719441813865
2022-05-11,13888.15,13949.1,13589.35,13771.8,-0.006073203208729949
2022-05-12,13656.95,13671.0,13389.75,13465.25,-0.022259254418449226
2022-05-13,13621.2,13738.55,13435.05,13471.5,0.0004641577393662555
2022-05-16,13540.25,13646.3,13434.45,13571.2,0.007400809115540197
2022-05-17,13648.45,13944.7,13632.15,13926.05,0.026147282480546874
2022-05-18,13989.35,14064.0,13896.6,13918.2,-0.0005636917862565927
2022-05-19,13625.75,13680.65,13520.95,13550.9,-0.026389906740814317
2022-05-20,13755.05,13906.4,13733.55,13895.05,0.025396837110450265
2022-05-23,13929.75,14005.5,13813.6,13835.8,-0.0042641084414953845
2022-05-24,13858.05,13883.55,13709.4,13747.25,-0.006400063603116513
2022-05-25,13805.1,13821.4,13574.5,13587.75,-0.011602320464092819
2022-05-26,13651.55,13756.85,13445.25,13722.55,0.00992070063108308
2022-05-27,13839.3,13885.05,13768.3,13873.15,0.01097463663823417
2022-05-30,14022.6,14163.05,14009.65,14154.8,0.020301806006566725
2022-05-31,14106.0,14215.45,14067.05,14119.6,-0.0024867889337891746
2022-06-01,14132.1,14186.9,14009.05,14082.9,-0.0025992237740446456
2022-06-02,14059.25,14179.3,14029.8,14167.95,0.0060392390771788484
2022-06-03,14280.35,14300.0,14064.9,14077.9,-0.0063558948189400555
2022-06-06,14042.4,14081.2,13932.15,14054.1,-0.0016905930572030936
2022-06-07,13978.65,13990.2,13883.75,13935.6,-0.00843170320404718
2022-06-08,13981.65,14020.45,13832.45,13886.9,-0.003494646803869239
