date,close,high,low,open,volume,adj_close,daily_return,return_zscore
2021-09-02,14684.330078125,14691.980458574426,14548.480649439833,14571.28042380194,22044800,14684.330078125,,
2021-09-03,14759.2802734375,14770.830062840932,14682.180766089816,14724.680709848792,24543700,14759.2802734375,0.005104093609564986,0.5131170154830536
2021-09-06,14805.830078125,14843.380809839598,14783.43069361086,14827.0302454711,16059600,14805.830078125,0.003153934597425856,0.2997063724538734
2021-09-07,14784.23046875,14852.230378916223,14713.530366838464,14834.930597083236,23696100,14784.23046875,-0.001458858386259143,-0.20508278098490015
2021-09-08,14803.580078125,14825.0800497588,14716.63097409216,14802.830079114518,26775300,14803.580078125,0.0013088005774735123,0.09778886971592073
2021-09-09,14836.4306640625,14844.38084890907,14774.13094138876,14780.58015164877,18261800,14836.4306640625,0.002219097391585878,0.19740486371327304
2021-09-13,14852.1806640625,14865.730450931453,14769.080187405663,14839.78028974452,16737100,14852.1806640625,0.001061576086366367,0.07073449246190139
2021-09-14,14904.330078125,14935.530232551528,14881.530303315269,14917.03025679466,29200400,14904.330078125,0.0035112294444872294,0.33880601642533653
2021-09-15,15020.5302734375,15028.630848841793,14921.080207440282,14927.930784469952,31359100,15020.5302734375,0.007796405118741134,0.8077432110043617
2021-09-16,15104.880859375,15115.330064613736,15012.23058855072,15050.830148014857,53456100,15104.880859375,0.005615686290827426,0.5691018466673995
2021-09-17,15027.23046875,15207.68042952738,14979.3301403822,15169.880673969124,42884200,15027.23046875,-0.005140748301685871,-0.6080009479255424
2021-09-20,14826.73046875,15047.630568383329,14800.830112243537,14907.480362378175,24323400,14826.73046875,-0.013342445264079239,-1.505532591129809
2021-09-21,14946.2802734375,14959.430646878074,14734.680940572734,14856.830195015076,22286700,14946.2802734375,0.00806312659014563,0.8369311902244181
2021-09-22,14990.5302734375,15030.830025618216,14950.330130502003,14977.28029070098,20244400,14990.5302734375,0.0029606028517101812,0.2785496093826
2021-09-23,15205.4306640625,15219.33006027134,15085.530427448362,15097.080217300254,20467000,15205.4306640625,0.014335743079468832,1.5233588661879003
2021-09-24,15191.9306640625,15305.180518464733,15160.430704559893,15274.079972511125,26783800,15191.9306640625,-0.0008878406865454602,-0.14259492552368278
2021-09-27,15189.0302734375,15262.630764733698,15139.58014171187,15261.329985156344,18550100,15189.0302734375,-0.0001909165259594836,-0.0663288198741328
2021-09-28,15095.580078125,15239.630672996724,14967.030439760032,15235.079897634694,22453400,15095.580078125,-0.0061524793637369735,-0.7187171383392076
2021-09-29,15086.9306640625,15141.030203401277,14985.38099083925,15023.280355837964,30743000,15086.9306640625,-0.0005729765943234266,-0.10813858223596458
2021-09-30,15052.630859375,15137.53016327805,15026.930697409249,15109.680590038726,32462500,15052.630859375,-0.002273477982450256,-0.2942285843605039
2021-10-01,15013.9306640625,15031.530250542635,14932.730574381185,14994.780298349737,25478800,15013.9306640625,-0.002570992119188098,-0.3267862798285515
2021-10-04,15181.130859375,15195.180645986778,15075.230604995735,15094.380970982877,20508200,15181.130859375,0.011136337249292971,1.173240105984757
2021-10-05,15280.0791015625,15287.67967729906,15150.47966612645,15171.229638277346,25286700,15280.0791015625,0.006517843967229542,0.667827155032639
2021-10-06,15134.5302734375,15349.18038705456,15109.080110968667,15328.930413187338,25794100,15134.5302734375,-0.009525397555704807,-1.087823778234745
2021-10-07,15290.1298828125,15335.929626071316,15250.9795446977,15274.629903601772,21341200,15290.1298828125,0.010281099351203027,1.07964934305815
2021-10-08,15365.1796875,15402.679637449042,15317.379946610525,15375.27928339513,18598500,15365.1796875,0.004908382418115531,0.49169986387887693
2021-10-11,15427.9794921875,15497.77920409296,15356.529391850836,15374.479563302872,21710600,15427.9794921875,0.004087150685168295,0.4018304782988798
2021-10-12,15481.8798828125,15493.22947715345,15371.7794427177,15426.579174815655,27763700,15481.8798828125,0.0034936778761143206,0.33688530561697816
2021-10-13,15631.3798828125,15660.179649715734,15546.829212489962,15573.579177394962,30276800,15631.3798828125,0.009656450064954303,1.011292452662923
