Date,Open,High,Low,Close,Daily_Return,Z_Score,SMA_10,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,Dist_SMA_50,Dist_SMA_200,RSI_14,MACD,MACD_Signal,MACD_Hist,BB_Middle,BB_Upper,BB_Lower,BB_Bandwidth,BB_PctB,Return,Return_Lag1,Return_Lag2,Return_Lag3,Return_Lag5,Close_Lag1,Close_Lag2,Vol_10,Vol_20,High_Low_Ratio,Close_Open_Ratio,Target
2022-06-21,13042.8,13275.5,13019.35,13241.9,0.02248132347547438,2.424317904541132,13410.84,13694.235,14120.077,14767.888,13411.547310833706,13679.990623854526,-0.06219349936972721,-0.10333149872209223,37.658433361493685,-268.4433130208199,-203.1505645424667,-65.29274847835322,13694.235,14509.079881008218,12879.390118991783,0.11900553495806333,0.22244103721892203,0.02248132347547438,-0.003385982800746423,-0.007215872627815312,-0.021796074240425622,-0.002131639946634456,12950.75,12994.75,0.22041068469043332,0.19412792747562724,1.019674561325948,1.0152651271198658,13047.75
2022-06-22,13176.1,13184.9,13028.35,13047.75,-0.014661793247192634,-1.6585842272414941,13326.925,13667.235,14074.184,14760.37,13355.578493782366,13633.157985050488,-0.07293026721833389,-0.11602825674424155,34.05643627635936,-277.5794912681213,-218.03634988759762,-59.54314138052365,13667.235,14531.239343982763,12803.230656017238,0.12643440227416333,0.14150353854441883,-0.014661793247192634,0.02248132347547438,-0.003385982800746423,-0.007215872627815312,-0.0005564560100982385,13241.9,12950.75,0.22530255289735004,0.19644828842076636,1.0120161033437838,0.9902588778165776,13178.8
2022-06-23,13081.9,13231.9,13021.25,13178.8,0.010043877296851855,1.0571500414942496,13247.094999999998,13640.0475,14031.25,14752.842249999998,13328.381802431233,13599.501838009712,-0.06075367483296219,-0.10669416938963058,38.34335556706636,-271.12003557847856,-228.65308702577383,-42.466948552704736,13640.0475,14530.537306363258,12749.557693636743,0.13056989814196135,0.24101472206404698,0.010043877296851855,-0.014661793247192634,0.02248132347547438,-0.003385982800746423,-0.021796074240425622,13047.75,13241.9,0.2314378199700938,0.19654670055396317,1.0161774023230477,1.0074071809140104,13322.5
2022-06-24,13269.2,13337.7,13247.95,13322.5,0.010903875921935313,1.151684117508947,13201.169999999998,13612.515,13994.406,14745.65825,13327.476909749505,13578.983183342327,-0.04801247012556309,-0.09651371446913876,42.73912871539895,-251.50627359282225,-233.22372433918352,-18.282549253638734,13612.515,14506.701642532887,12718.328357467111,0.1313771397178094,0.3378330729819247,0.010903875921935313,0.010043877296851855,-0.014661793247192634,0.02248132347547438,-0.007215872627815312,13178.8,13047.75,0.24019189881020458,0.19648564382579597,1.0067746330563592,1.0040168209084945,13444.55
2022-06-27,13506.35,13510.8,13432.65,13444.55,0.009161193469694018,0.9601223282169346,13203.935000000001,13577.002499999999,13960.525999999998,14738.85175,13345.488154403427,13569.025169761413,-0.0369596389133188,-0.08781564344047361,46.24457552090607,-223.5370153579861,-231.28638254294404,7.749367184957947,13577.002499999999,14436.239957207521,12717.765042792476,0.1265724827269528,0.42292439133712456,0.009161193469694018,0.010903875921935313,0.010043877296851855,-0.014661793247192634,-0.003385982800746423,13322.5,13178.8,0.2086149870986221,0.18339711964143018,1.0058179138143994,0.9954243744608279,13464.25
2022-06-28,13389.85,13487.5,13330.75,13464.25,0.0014652777519514881,0.11416018334353578,13211.529999999999,13544.235,13931.29,14732.251750000001,13363.75920757213,13561.264046075383,-0.03352453362179675,-0.0860697856320573,46.8105850828521,-197.50483850325327,-224.53007373500589,27.025235231752617,13544.235,14365.492019260253,12722.977980739748,0.12127034406302792,0.45130330814554354,0.0014652777519514881,0.009161193469694018,0.010903875921935313,0.010043877296851855,0.02248132347547438,13444.55,13322.5,0.20823279027073613,0.1839342208434748,1.0117585282147656,1.0055564476076277,13417.85
2022-06-29,13337.65,13462.05,13328.2,13417.85,-0.0034461629871697097,-0.4257226706885935,13215.23,13510.982500000002,13905.114000000001,14725.322999999999,13372.080867945648,13550.640783403132,-0.03504207157165349,-0.08879078577767009,45.592899613741885,-178.55991545748475,-215.33604207950168,36.77612662201693,13510.982500000002,14293.340379661506,12728.624620338498,0.11581065694689542,0.4404796050365487,-0.0034461629871697097,0.0014652777519514881,0.009161193469694018,0.010903875921935313,-0.014661793247192634,13464.25,13444.55,0.20919456329792832,0.18397617461437746,1.010042616407241,1.006013053273927,13387.55
2022-06-30,13410.8,13492.15,13352.4,13387.55,-0.0022581859239745317,-0.29513605029148376,13245.064999999999,13471.9625,13875.858999999999,14718.078500000001,13374.460734415548,13538.55998463253,-0.03519126275353471,-0.09040096504445211,44.77382293070029,-164.0992502169811,-205.08868370699759,40.989433490016495,13471.9625,14191.695838685799,12752.2291613142,0.10684907097771376,0.4413584896910742,-0.0022581859239745317,-0.0034461629871697097,0.0014652777519514881,0.009161193469694018,0.010043877296851855,13417.85,13464.25,0.17106140991832072,0.18131661746189356,1.010466283214927,0.9982663226652401,13394.45
2022-07-01,13335.25,13422.45,13192.9,13394.45,0.0005154042375192791,0.009746743137200564,13285.034999999998,13437.789999999999,13842.669000000002,14710.789749999998,13377.536006043927,13527.885170956046,-0.03237952160815236,-0.08948124284082012,45.01606763503708,-150.3491649121188,-194.14077994802182,43.79161503590302,13437.789999999999,14098.90056691315,12776.679433086849,0.09839572830251854,0.4672218217575706,0.0005154042375192791,-0.0022581859239745317,-0.0034461629871697097,0.0014652777519514881,0.010903875921935313,13387.55,13417.85,0.1632952783456965,0.18115407305813336,1.0173995103426072,1.00443936184166,13472.65
2022-07-04,13378.4,13483.7,13337.2,13472.65,0.0058382389721114425,0.594851473234618,13337.225,13408.717499999999,13814.225,14703.63125,13392.168928191015,13523.793676811154,-0.024726323771329967,-0.08371954036864197,47.81014084550013,-131.62474862013914,-181.6375736824453,50.01282506230615,13408.717499999999,14003.526998273905,12813.908001726093,0.0887198195165057,0.5537419965425692,0.0058382389721114425,0.0005154042375192791,-0.0022581859239745317,-0.0034461629871697097,0.009161193469694018,13394.45,13387.55,0.15961830462361254,0.18349489570049632,1.010984314548705,1.0070449381091156,13461.85
