date,close,high,low,open,volume,adj_close
2021-09-02,23378.189453125,23389.7890625,23166.2890625,23212.6796875,300,23378.189453125
2021-09-03,23494.55078125,23513.099609375,23373.75,23448.2890625,300,23494.55078125
2021-09-06,23566.75,23631.939453125,23538.560546875,23615.150390625,200,23566.75
2021-09-07,23530.80078125,23639.990234375,23423.439453125,23629.83984375,300,23530.80078125
2021-09-08,23555.900390625,23594.08984375,23421.880859375,23565.599609375,400,23555.900390625
2021-09-09,23606.900390625,23615.669921875,23509.48046875,23537.55078125,400,23606.900390625
2021-09-13,23627.619140625,23650.58984375,23500.7890625,23612.029296875,200,23627.619140625
2021-09-14,23711.05078125,23762.44921875,23678.7890625,23747.400390625,400,23711.05078125
2021-09-15,23901.2890625,23913.080078125,23743.26953125,23774.099609375,400,23901.2890625
2021-09-16,24024.509765625,24041.01953125,23883.23046875,23973.419921875,700,24024.509765625
2021-09-17,23902.169921875,24190.099609375,23829.509765625,24129.80078125,600,23902.169921875
2021-09-20,23581.890625,23932.33984375,23543.8203125,23745.66015625,400,23581.890625
2021-09-21,23770.01953125,23792.080078125,23438.759765625,23594.66015625,300,23770.01953125
2021-09-22,23846.7109375,23907.91015625,23783.58984375,23845.75,300,23846.7109375
2021-09-23,24185.33984375,24206.76953125,23995.380859375,24010.66015625,300,24185.33984375
2021-09-24,24160.859375,24345.4609375,24115.560546875,24292.66015625,400,24160.859375
2021-09-27,24162.75,24275.869140625,24083.3203125,24254.890625,200,24162.75
2021-09-28,24010.470703125,24244.169921875,23806.169921875,24243.44921875,300,24010.470703125
2021-09-29,23997.880859375,24084.23046875,23832.73046875,23879.220703125,300,23997.880859375
2021-09-30,23937.5390625,24077.4609375,23900.740234375,24069.73046875,500,23937.5390625
2021-10-01,23873.26953125,23904.19921875,23746.51953125,23872.060546875,300,23873.26953125
2021-10-04,24140.880859375,24162.51953125,23972.359375,24016.359375,200,24140.880859375
2021-10-05,24303.19921875,24314.26953125,24099.640625,24167.279296875,400,24303.19921875
2021-10-06,24073.669921875,24411.380859375,24033.7109375,24404.25,300,24073.669921875
2021-10-07,24321.310546875,24390.94921875,24259.580078125,24259.609375,200,24321.310546875
2021-10-08,24435.390625,24499.080078125,24363.1796875,24454.98046875,200,24435.390625
2021-10-11,24534.939453125,24647.23046875,24423.419921875,24504.720703125,300,24534.939453125
2021-10-12,24622.919921875,24638.669921875,24448.619140625,24554.439453125,300,24622.919921875
2021-10-13,24864.650390625,24911.51953125,24728.900390625,24776.849609375,300,24864.650390625
2021-10-14,25082.490234375,25104.0,24992.19921875,25037.060546875,200,25082.490234375
2021-10-18,25266.76953125,25366.26953125,25248.529296875,25325.0390625,300,25266.76953125
2021-10-19,25062.33984375,25454.919921875,24998.08984375,25442.2109375,300,25062.33984375
2021-10-20,24765.2890625,25090.650390625,24652.369140625,25088.91015625,400,24765.2890625
2021-10-21,24639.029296875,24911.970703125,24453.58984375,24893.859375,200,24639.029296875
2021-10-22,24495.83984375,24814.23046875,24385.4609375,24710.19921875,200,24495.83984375
2021-10-25,24394.140625,24683.869140625,24151.7109375,24682.48046875,200,24394.140625
2021-10-26,24654.919921875,24703.19921875,24421.91015625,24422.26953125,200,24654.919921875
2021-10-27,24623.630859375,24781.51953125,24574.73046875,24746.029296875,200,24623.630859375
2021-10-28,24157.150390625,24610.7890625,24080.73046875,24610.7890625,200,24157.150390625
2021-10-29,23990.08984375,24274.169921875,23791.5,24128.05078125,200,23990.08984375
2021-11-01,24329.0390625,24345.650390625,24027.66015625,24110.759765625,200,24329.0390625
2021-11-02,24347.0390625,24440.119140625,24295.279296875,24434.69921875,100,24347.0390625
2021-11-03,24295.5703125,24478.7109375,24185.240234375,24440.529296875,200,24295.5703125
2021-11-04,24447.150390625,24491.189453125,24428.69921875,24491.189453125,100,24447.150390625
2021-11-08,24671.009765625,24693.66015625,24340.890625,24567.55078125,200,24671.009765625
2021-11-09,24705.580078125,24766.44921875,24624.6796875,24721.140625,200,24705.580078125
2021-11-10,24675.94921875,24741.419921875,24578.900390625,24669.169921875,200,24675.94921875
2021-11-11,24504.509765625,24665.98046875,24409.94921875,24665.849609375,200,24504.509765625
2021-11-12,24772.080078125,24792.140625,24532.970703125,24641.359375,200,24772.080078125
2021-11-15,24781.529296875,24902.169921875,24732.240234375,24856.939453125,100,24781.529296875
