date,close,high,low,open,volume,adj_close
2021-09-02,14684.330078125,14691.980458574426,14548.480649439833,14571.28042380194,22044800,14684.330078125
2021-09-03,14759.2802734375,14770.830062840932,14682.180766089816,14724.680709848792,24543700,14759.2802734375
2021-09-06,14805.830078125,14843.380809839598,14783.430693610859,14827.0302454711,16059600,14805.830078125
2021-09-07,14784.23046875,14852.230378916225,14713.530366838464,14834.930597083236,23696100,14784.23046875
2021-09-08,14803.580078125,14825.080049758799,14716.63097409216,14802.830079114518,26775300,14803.580078125
2021-09-09,14836.4306640625,14844.38084890907,14774.13094138876,14780.58015164877,18261800,14836.4306640625
2021-09-13,14852.1806640625,14865.730450931453,14769.080187405665,14839.78028974452,16737100,14852.1806640625
2021-09-14,14904.330078125,14935.530232551528,14881.530303315267,14917.03025679466,29200400,14904.330078125
2021-09-15,15020.5302734375,15028.630848841793,14921.080207440282,14927.930784469952,31359100,15020.5302734375
2021-09-16,15104.880859375,15115.330064613736,15012.230588550721,15050.830148014857,53456100,15104.880859375
2021-09-17,15027.23046875,15207.68042952738,14979.330140382199,15169.880673969124,42884200,15027.23046875
2021-09-20,14826.73046875,15047.630568383329,14800.830112243537,14907.480362378177,24323400,14826.73046875
2021-09-21,14946.2802734375,14959.430646878074,14734.680940572734,14856.830195015076,22286700,14946.2802734375
2021-09-22,14990.5302734375,15030.830025618217,14950.330130502003,14977.280290700981,20244400,14990.5302734375
2021-09-23,15205.4306640625,15219.33006027134,15085.530427448362,15097.080217300254,20467000,15205.4306640625
2021-09-24,15191.9306640625,15305.180518464731,15160.430704559893,15274.079972511125,26783800,15191.9306640625
2021-09-27,15189.0302734375,15262.630764733698,15139.58014171187,15261.329985156344,18550100,15189.0302734375
2021-09-28,15095.580078125,15239.630672996724,14967.030439760032,15235.079897634694,22453400,15095.580078125
2021-09-29,15086.9306640625,15141.030203401277,14985.38099083925,15023.280355837964,30743000,15086.9306640625
2021-09-30,15052.630859375,15137.53016327805,15026.930697409249,15109.680590038726,32462500,15052.630859375
2021-10-01,15013.9306640625,15031.530250542635,14932.730574381183,14994.780298349737,25478800,15013.9306640625
2021-10-04,15181.130859375,15195.180645986778,15075.230604995735,15094.380970982875,20508200,15181.130859375
2021-10-05,15280.0791015625,15287.67967729906,15150.47966612645,15171.229638277346,25286700,15280.0791015625
2021-10-06,15134.5302734375,15349.180387054561,15109.080110968669,15328.930413187338,25794100,15134.5302734375
2021-10-07,15290.1298828125,15335.929626071316,15250.9795446977,15274.629903601772,21341200,15290.1298828125
2021-10-08,15365.1796875,15402.679637449042,15317.379946610525,15375.27928339513,18598500,15365.1796875
2021-10-11,15427.9794921875,15497.77920409296,15356.529391850836,15374.479563302872,21710600,15427.9794921875
2021-10-12,15481.8798828125,15493.22947715345,15371.779442717701,15426.579174815655,27763700,15481.8798828125
2021-10-13,15631.3798828125,15660.179649715734,15546.829212489962,15573.579177394962,30276800,15631.3798828125
2021-10-14,15769.2294921875,15780.979476906698,15710.07917848722,15733.279343628008,25796300,15769.2294921875
2021-10-18,15886.1298828125,15949.179606107495,15871.379901853628,15924.079052572943,37294700,15886.1298828125
2021-10-19,15757.8291015625,16004.429366565437,15716.679741053276,16003.929367216155,29624900,15757.8291015625
2021-10-20,15568.6298828125,15776.328827970601,15496.979586569014,15767.979229594128,26118900,15568.6298828125
2021-10-21,15487.6298828125,15666.979254703565,15373.429838717011,15666.578864608739,25219900,15487.6298828125
2021-10-22,15399.6796875,15600.429420160812,15328.879977096745,15537.029113966242,26580900,15399.6796875
2021-10-25,15334.3291015625,15498.379663414695,15181.579305846897,15491.979281349431,24239700,15334.3291015625
2021-10-26,15499.6298828125,15528.879844111401,15356.479681591862,15360.329285873388,23773200,15499.6298828125
2021-10-27,15484.3291015625,15583.179556580113,15454.079141626264,15541.729416165163,19087300,15484.3291015625
2021-10-28,15190.830078125,15475.430298144507,15148.180718897902,15475.380493521041,23872900,15190.830078125
2021-10-29,15086.880859375,15266.38062699729,14961.480631091257,15163.480369585423,23416500,15086.880859375
2021-11-01,15302.6796875,15318.129862107024,15111.279553378969,15179.380048051918,18625900,15302.6796875
2021-11-02,15314.6298828125,15373.679608426544,15278.679735640822,15344.329061792347,17088900,15314.6298828125
2021-11-03,15282.7294921875,15397.27914316144,15212.12997754961,15367.679573505944,16168200,15282.7294921875
2021-11-04,15376.8798828125,15396.829074956693,15363.32911963486,15380.92968209887,3711800,15376.8798828125
2021-11-08,15520.1298828125,15535.029277187408,15313.179960957132,15474.229552838757,17639800,15520.1298828125
2021-11-09,15541.9296875,15579.479442640026,15487.679759083605,15542.029296743563,20442100,15541.9296875
2021-11-10,15521.0791015625,15562.429632864047,15458.479574899491,15492.029335258101,18928100,15521.0791015625
2021-11-11,15411.0791015625,15499.87976464379,15351.17976720917,15497.22937754571,15128100,15411.0791015625
2021-11-12,15578.9794921875,15591.42967111087,15429.5792982295,15504.329199830438,15403600,15578.9794921875
2021-11-15,15592.5791015625,15664.429593000148,15558.029342315845,15625.7294485872,13277500,15592.5791015625
2021-11-16,15525.3798828125,15626.629749069345,15492.579144889709,15613.078985718845,15066000,15525.3798828125
2021-11-17,15454.9296875,15560.729351797363,15436.929711384944,15487.129840084728,13699600,15454.9296875
2021-11-18,15302.529296875,15502.578833464442,15239.779380969825,15461.479279169354,17285100,15302.529296875
2021-11-22,14976.6806640625,15339.630386048371,14846.680833596674,15333.880393546999,21107300,14976.6806640625
2021-11-23,15107.7802734375,15137.130821430783,14820.381230922801,14875.980768419045,21444000,15107.7802734375
2021-11-24,15046.48046875,15199.180465848583,14997.280337302274,15159.930516797413,18733500,15046.48046875
2021-11-25,15150.580078125,15166.63083868329,14984.680877930137,15057.580198015057,18600600,15150.580078125
